,Path,/public/home/dsfeng/1_CrTe2/geoMAGMOMU1.5/1_strain/geo-8/1_321_J3,,,,,,,,,,,,,,,,,,,,,,,
Strain (%),-10,-8,-6,-4,-2,0,2,2.5,3,3.2,3.4,3.5,3.6,4,6,7,7.5,8,10,12,14,16,,,
EFM(eV),-91.20880312,-92.7495034,-93.86117539,-94.75124028,-95.31624942,-95.65141573,-95.76830258,-95.76387359,-95.74618174,-95.73534761,-95.72242764,-95.71777518,-95.70878115,-95.67352716,-95.38013309,-95.22167131,-95.13412037,-95.03388459,-94.63104249,-94.28978132,-93.8824157,-93.40700579,,,
EAFM1(eV),-92.30018117,-93.64096821,-94.5910358,-95.25711355,-95.64111091,-95.79352991,-95.74548108,-95.70277266,-95.64805412,-95.62258534,-95.5951398,-95.58638902,-95.56858951,-95.50591869,-95.02681121,-94.74951898,-94.62733088,-94.50212256,-94.01243552,-93.60988723,-93.17999185,-92.72999341,,,
EAFM2(eV),-92.62896347,-93.92495989,-94.83787151,-95.44330068,-95.78502695,-95.89797857,-95.81953132,-95.77053314,-95.71008571,-95.68244697,-95.65291806,-95.64376177,-95.62465383,-95.5583871,-95.06846232,-94.79438408,-94.67119052,-94.54287396,-94.0610393,-93.66665459,-93.23891907,-92.78836101,,,
EAFM3(eV),-92.30414713,-93.65718399,-94.62024556,-95.27883903,-95.6657486,-95.81955626,-95.77610103,-95.7350675,-95.68226919,-95.65760514,-95.63099501,-95.62310552,-95.605515,-95.54477121,-95.08352263,-94.82519939,-94.71214238,-94.59534389,-94.1436209,-93.76104258,-93.33964037,-92.88886408,,,
J1(eV),0.057384085,0.04707757,0.038409396,0.027757173,0.018963793,0.010482809,0.00298526,0.001258222,-0.000407724,-0.001062133,-0.001708852,-0.001928261,-0.00229931,-0.003521133,-0.011069522,-0.015683285,-0.017490141,-0.019143662,-0.024065327,-0.026751613,-0.027905215,-0.027181155,,,
J2(eV),-0.01191,-0.009933203,-0.007998546,-0.00667912,-0.005427897,-0.004561384,-0.003936156,-0.003804094,-0.003680927,-0.003636295,-0.003594808,-0.003546162,-0.003542009,-0.003462553,-0.003652223,-0.003989729,-0.003626088,-0.00301309,-0.001709963,-0.001577308,-0.001362445,-0.001027694,,,
J3(eV),0.014593894,0.012782879,0.011427959,0.008297136,0.006280804,0.004247349,0.002660062,0.002332983,0.002036511,0.001923204,0.001813738,0.001812716,0.001733016,0.001547999,0.000777083,0.000809204,0.000928184,0.001040418,0.002182755,0.002759306,0.003001729,0.003134128,,,
E0(eV),-15.38167112,-15.6080323,-15.76904566,-15.87999895,-15.94549167,-15.97240894,-15.96651126,-15.96000693,-15.95154054,-15.9475656,-15.94326817,-15.94197741,-15.93913862,-15.9292808,-15.85485486,-15.81368712,-15.79512259,-15.77563176,-15.70106281,-15.63825471,-15.56827149,-15.49261014,,,
J1(meV),57.38408528,47.07756972,38.40939611,27.75717278,18.96379278,10.48280861,2.985260278,1.258221944,-0.407723889,-1.062132778,-1.7088525,-1.928261389,-2.299309722,-3.521133333,-11.0695225,-15.683285,-17.49014083,-19.14366167,-24.06532694,-26.75161278,-27.90521528,-27.18115528,,,
J2(meV),-11.90999986,-9.933202639,-7.998545694,-6.679119861,-5.427897361,-4.561384444,-3.936156111,-3.804094028,-3.680926944,-3.636295139,-3.5948075,-3.546161944,-3.542008611,-3.462552917,-3.6522225,-3.98972875,-3.626087917,-3.013089583,-1.709963472,-1.577307639,-1.362445139,-1.027693889,,,
