Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,86,63,1000
2,0,194,113,1000
3,0,301,161,1000
4,0,368,244,1000
5,0,472,294,1000
6,0,607,316,0
7,0,657,343,0
8,0,642,358,0
9,0,642,358,0
10,0,641,359,0
11,0,634,366,0
12,0,633,367,0
13,0,597,403,1000
14,0,587,413,1000
15,0,587,413,1000
16,0,587,413,1000
17,0,587,413,1000
18,0,587,413,0
19,0,587,413,0
20,0,587,413,0
21,0,587,413,0
22,0,587,413,0
23,0,587,413,0
24,0,587,413,0
25,0,587,413,0
26,0,587,413,0
27,0,587,413,0
28,0,587,413,1000
29,0,587,413,1000
30,0,587,413,1000
31,0,587,413,1000
32,0,574,426,1000
33,0,527,473,1000
34,0,415,585,1000
35,0,328,672,1000
36,13,226,761,1000
37,128,111,761,0
38,228,11,761,0
39,239,0,761,0
40,240,0,760,0
41,240,0,760,0
42,240,0,760,0
43,240,0,760,0
44,240,0,760,0
45,240,0,760,0
46,240,0,760,0
47,240,0,760,0
48,240,0,760,0
49,240,0,760,1000
50,240,0,760,1000
51,240,0,760,1000
52,240,0,760,1000
53,240,0,760,1000
54,240,0,760,1000
55,240,0,760,1000
56,240,0,760,1000
57,240,0,760,1000
58,240,0,760,1000
59,240,0,760,1000
60,240,0,760,1000
61,309,0,691,1000
62,357,0,643,1000
63,400,0,600,1000
64,488,0,512,1000
65,534,0,466,1000
66,555,0,445,1000
67,582,0,418,1000
68,597,0,403,1000
69,597,0,403,1000
70,599,0,401,1000
71,605,0,395,1000
72,606,0,394,1000
73,642,0,358,1000
74,652,0,348,1000
75,652,0,348,1000
76,652,0,348,1000
77,652,0,348,1000
78,652,0,348,1000
79,652,0,348,1000
80,652,0,348,1000
81,652,0,348,1000
82,652,0,348,1000
83,652,0,348,1000
84,652,0,348,1000
85,652,0,348,1000
86,652,0,348,1000
87,652,0,348,1000
88,652,0,348,1000
89,652,0,348,1000
90,652,0,348,1000
91,652,0,348,1000
92,679,0,321,1000
93,733,0,267,1000
94,825,0,175,1000
95,911,0,89,1000
